carat,cut,color,clarity,depth,table,price,x,y,z
0.76,Very Good,G,VS2,61.1,57,3170,5.84,5.95,3.6
0.32,Premium,E,I1,60.9,58,444,4.42,4.38,2.68
0.51,Premium,G,VVS2,61.7,58,1875,5.11,5.14,3.16
2.14,Very Good,I,VS2,59.7,57,16914,8.41,8.48,5.04
1.5,Ideal,G,VS1,61.3,53.9,13820,7.37,7.42,4.53
1.53,Ideal,H,SI1,61.9,58,8289,7.38,7.42,4.58
1.02,Good,D,SI1,63.5,61,5497,6.27,6.35,4.01
1.71,Very Good,J,SI1,62.9,58,8690,7.58,7.64,4.79
1.01,Ideal,G,VS2,61.6,57,6271,6.44,6.41,3.96
1,Good,G,SI1,62.5,62,4466,6.32,6.36,3.96
0.3,Ideal,E,SI1,62.3,57,564,4.28,4.32,2.68
0.95,Very Good,E,SI1,62.8,59,4711,6.21,6.25,3.91
0.77,Ideal,D,SI2,60.6,56,2973,5.9,5.95,3.59
0.35,Good,F,SI2,63.8,56,460,4.45,4.48,2.85
0.55,Good,J,VS1,63.8,61,969,5.09,5.12,3.26
0.7,Good,F,VS1,64,57,2381,5.62,5.54,3.57
0.7,Ideal,J,VVS1,61.6,58,1945,5.69,5.71,3.51
0.76,Ideal,G,SI2,62.3,55,2489,5.83,5.89,3.65
0.31,Ideal,E,SI1,60.6,56,595,4.39,4.42,2.67
0.41,Premium,G,SI1,62.5,58,719,4.75,4.78,2.98
0.35,Premium,F,VS2,61.9,58,906,4.54,4.48,2.79
0.26,Ideal,H,SI1,60.5,58,474,4.16,4.17,2.52
1.6,Premium,G,VVS2,60.6,60,16068,7.51,7.57,4.57
0.7,Very Good,G,VS1,60.8,56,2512,5.72,5.76,3.49
0.8,Premium,F,SI2,61.4,58,2447,5.95,5.93,3.65
1.01,Good,F,SI2,63.6,59,4121,6.34,6.37,4.04
0.51,Ideal,D,VVS2,62,55,2145,5.13,5.16,3.19
0.7,Very Good,G,IF,63,59,3725,5.58,5.62,3.53
1,Premium,H,VS1,61.8,61,5169,6.4,6.31,3.93
0.64,Ideal,F,VS1,61.9,56.8,2222,5.55,5.6,3.45
0.41,Good,G,I1,63.8,56,467,4.7,4.74,3.01
0.41,Ideal,D,VS2,61.7,56,1007,4.78,4.81,2.96
0.71,Ideal,G,IF,61.8,57,3772,5.7,5.75,3.54
0.34,Premium,D,VS2,62.1,58,1033,4.5,4.45,2.78
1.01,Very Good,G,SI1,63.5,60,4672,6.33,6.3,4.01
0.3,Good,I,VVS1,63.8,56,552,4.23,4.26,2.71
1.7,Premium,G,SI1,62.5,61,13737,7.54,7.47,4.69
0.42,Ideal,E,SI1,62.1,55,743,4.79,4.81,2.98
1.07,Very Good,G,SI1,60.5,62,4861,6.6,6.69,4.02
0.5,Good,I,SI2,65.3,56,855,4.91,5.01,3.24
0.57,Premium,F,SI2,62.1,59,1746,5.33,5.29,3.3
0.4,Ideal,J,VS1,61.3,56,606,4.77,4.79,2.93
0.55,Very Good,E,SI1,61,61,1551,5.25,5.3,3.22
0.41,Ideal,F,SI1,60.5,56,909,4.81,4.84,2.92
0.41,Ideal,F,VS1,62.3,55,1007,4.77,4.79,2.98
0.4,Ideal,I,VVS2,62,56,1035,4.77,4.74,2.95
0.32,Premium,G,VVS1,61.9,58,1080,4.39,4.36,2.71
1.05,Premium,G,SI1,60.3,57,4974,6.64,6.59,3.99
1.58,Ideal,H,VS2,62.7,56,11262,7.39,7.44,4.65
1.39,Premium,F,SI1,62.4,59,8925,7.14,7.09,4.44
0.71,Ideal,D,VS1,61.3,56,3406,5.75,5.77,3.53
0.35,Ideal,H,VVS2,59.2,56,706,4.6,4.65,2.74
1.13,Ideal,I,SI2,62,55,5378,6.68,6.7,4.15
0.4,Ideal,D,VS1,62.2,57,1043,4.71,4.74,2.94
0.7,Very Good,H,VS2,62.9,57,2498,5.6,5.66,3.54
0.7,Ideal,G,SI2,61.4,57,2232,5.69,5.74,3.51
1.05,Ideal,G,VVS2,62.5,55,8645,6.49,6.53,4.07
0.92,Premium,H,VS2,59.6,59,3916,6.32,6.29,3.76
0.72,Premium,J,SI1,60.4,61,1579,5.87,5.82,3.53
1.7,Ideal,J,VS1,60.9,58,10589,7.73,7.68,4.69
0.58,Premium,G,VVS2,59.7,59,2095,5.45,5.4,3.24
0.34,Premium,G,SI1,61.5,56,650,4.52,4.45,2.76
0.59,Ideal,D,SI1,61.8,56,1816,5.37,5.4,3.33
0.57,Premium,G,VS2,61.1,59,1571,5.39,5.32,3.27
0.32,Ideal,F,VVS1,62.1,56,990,4.43,4.39,2.74
2.09,Premium,J,SI2,60,60,13092,8.32,8.37,5.01
1.31,Ideal,G,VS1,61.9,56,10099,7.03,7.13,4.38
1.62,Very Good,H,SI1,63.1,56,10567,7.38,7.51,4.7
1.22,Ideal,E,VVS2,63,55,12036,6.83,6.78,4.29
0.73,Very Good,F,VS1,62,57,3200,5.73,5.75,3.56
1.01,Very Good,F,VVS1,62.8,60,9667,6.4,6.34,4
0.3,Very Good,E,SI1,59.7,59.9,526,4.36,4.4,2.61
0.41,Premium,I,VVS2,59.9,58,827,4.81,4.87,2.9
1.01,Very Good,J,SI1,58.9,59,3952,6.56,6.62,3.88
0.34,Ideal,E,SI1,62.1,55,596,4.47,4.51,2.79
1.64,Very Good,F,SI1,62.8,59,12555,7.51,7.53,4.72
0.5,Very Good,D,VS2,60.8,56,1758,5.14,5.16,3.13
0.72,Premium,I,SI1,60.8,58,1858,5.83,5.78,3.53
0.23,Ideal,F,VS1,61.4,55,548,3.96,3.99,2.44
1.55,Very Good,I,VS1,59,58,10711,7.56,7.63,4.48
1.01,Ideal,H,VS2,62.7,57,5306,6.41,6.39,4.01
0.84,Very Good,F,SI2,62.8,57,2656,5.99,6.04,3.78
0.51,Ideal,G,VS2,62,56,1443,5.18,5.11,3.19
0.41,Premium,F,VS2,60.3,60,863,4.81,4.84,2.91
2.01,Ideal,J,VS1,60.9,56,16319,8.14,8.18,4.97
2.51,Very Good,I,SI2,62.3,57,18090,8.69,8.76,5.44
0.3,Ideal,F,VS1,62.3,54,615,4.31,4.33,2.69
0.33,Very Good,F,VVS1,61.1,58,912,4.42,4.46,2.71
1.52,Very Good,D,VS2,62.4,58,13799,7.23,7.28,4.53
0.35,Premium,D,SI1,61,60,644,4.54,4.58,2.78
1.38,Ideal,F,VVS1,62.9,56,15968,7.04,7.1,4.45
0.77,Premium,D,SI1,59.5,60,2939,6.01,5.95,3.56
1.12,Premium,E,SI2,63,61,4215,6.66,6.61,4.18
0.31,Ideal,G,VVS1,62.5,54,789,4.34,4.37,2.72
1.01,Very Good,H,VS2,61.6,57,5393,6.41,6.44,3.96
0.31,Ideal,D,VS1,62,57,863,4.35,4.33,2.69
0.7,Fair,I,VS2,64.4,55,1996,5.6,5.55,3.59
0.53,Good,D,VS2,58.4,58,1625,5.31,5.38,3.12
1.16,Premium,H,VS2,62.3,56,6202,6.77,6.68,4.19
0.34,Ideal,H,IF,61.7,56,863,4.5,4.51,2.78
0.32,Ideal,H,VVS1,61.9,56,730,4.38,4.41,2.72
0.71,Fair,F,SI2,60.1,68,2327,5.8,5.72,3.46
1.5,Premium,G,SI1,62.6,55,9265,7.31,7.27,4.56
0.9,Premium,H,I1,62.8,61,1939,6.09,6.07,3.82
0.34,Ideal,H,IF,61.6,55,844,4.51,4.55,2.78
0.79,Ideal,G,SI1,60.3,60,2907,5.98,6.02,3.62
0.74,Very Good,I,VS1,62.3,60,2491,5.78,5.8,3.61
0.72,Premium,D,VS2,60.6,57,3205,5.82,5.79,3.52
1.51,Premium,H,IF,60.2,60,13194,7.44,7.41,4.47
0.87,Premium,J,SI1,61.4,57,2321,6.17,6.14,3.78
1.04,Premium,H,SI1,58.5,62,4659,6.67,6.64,3.89
1.02,Ideal,I,SI2,62.9,56,3521,6.45,6.37,4.03
1.53,Very Good,F,VS1,60.3,58,15079,7.48,7.51,4.52
0.41,Ideal,I,VVS1,61.8,55,1107,4.79,4.76,2.95
0.32,Ideal,F,VS2,62.8,57,828,4.36,4.33,2.73
1.16,Ideal,I,VS2,61.5,57,5302,6.78,6.75,4.16
0.38,Ideal,D,VS1,62,55,1140,4.68,4.64,2.89
0.41,Premium,E,SI2,61.3,59,876,4.85,4.8,2.96
0.24,Very Good,F,VVS2,61.9,56,492,3.97,4.01,2.47
0.78,Very Good,F,VS1,60.6,57,3401,5.95,6,3.62
0.35,Good,F,VS2,57.9,60,596,4.65,4.68,2.7
0.3,Premium,E,VS2,62.2,60,658,4.24,4.28,2.65
0.32,Premium,H,SI1,63,59,591,4.37,4.33,2.74
1.12,Very Good,I,SI1,61.7,58.1,4724,6.6,6.66,4.09
1.52,Very Good,D,SI2,61.2,63,9030,7.39,7.31,4.5
1.35,Ideal,J,SI1,61,55,4423,7.17,7.09,4.35
1.09,Premium,I,SI1,61.7,59,4273,6.59,6.53,4.05
1.08,Very Good,G,SI2,62.9,59,4544,6.53,6.57,4.12
1.24,Premium,F,VS1,60.1,59,9738,6.99,7.02,4.21
0.64,Fair,I,VS2,55.3,69,1411,5.85,5.69,3.19
2.27,Ideal,I,SI2,60.5,55,12939,8.63,8.53,5.19
0.7,Ideal,I,SI1,60.8,59,2083,5.74,5.78,3.5
0.39,Ideal,I,VS1,62.5,54,816,4.67,4.7,2.92
1.56,Very Good,J,SI1,59.6,58,7424,7.55,7.59,4.51
0.55,Ideal,J,VS1,62.3,56,1550,5.26,5.24,3.27
0.29,Ideal,G,VVS2,61.3,56,600,4.23,4.25,2.6
0.41,Ideal,F,VS2,60.9,57,863,4.74,4.78,2.9
1.52,Good,I,SI1,64,58,9129,7.2,7.27,4.63
0.4,Ideal,E,VS2,62.2,56,975,4.74,4.72,2.94
0.56,Ideal,E,VVS1,62.1,56,2750,5.28,5.29,3.28
0.31,Ideal,E,VS2,60.9,57,872,4.36,4.34,2.65
0.75,Premium,E,VS2,61.8,58,3206,5.83,5.85,3.61
1,Very Good,D,SI2,60.8,63,3965,6.41,6.36,3.88
0.54,Premium,G,VS2,62.7,58,1422,5.21,5.25,3.28
1.5,Very Good,E,SI2,62.7,59,8167,7.22,7.3,4.55
0.52,Good,E,SI1,63.7,54,1388,5.12,5.15,3.27
1.04,Premium,J,SI1,60.2,56,4036,6.61,6.54,3.96
2.02,Ideal,I,SI2,60.9,60,14027,8.08,8.14,4.94
1.65,Very Good,G,SI2,62.2,58,9791,7.55,7.62,4.72
0.31,Ideal,G,VS2,61.6,54,544,4.39,4.41,2.71
0.4,Ideal,D,SI1,61.3,57,726,4.74,4.79,2.92
0.33,Very Good,H,VS2,62.8,59,521,4.38,4.44,2.77
1.23,Premium,H,VS2,59.5,59,7431,7.08,7.01,4.19
2.01,Very Good,H,VS2,63.2,58,18507,7.93,8.01,5.04
0.74,Premium,G,SI1,59.6,59,2447,5.94,5.87,3.52
0.32,Premium,I,SI1,62.9,58,554,4.35,4.33,2.73
1.33,Ideal,J,VS1,62.5,58,6449,6.99,7.03,4.38
0.9,Very Good,F,VS2,62.7,58,5160,6.12,6.19,3.86
0.52,Premium,F,SI1,61.5,60,1191,5.15,5.16,3.17
1.01,Premium,E,SI2,59.5,60,3801,6.59,6.53,3.9
1.51,Ideal,I,SI1,62.4,59,8752,7.27,7.34,4.56
1.05,Good,H,VS1,63.3,57,5555,6.4,6.45,4.07
0.7,Ideal,E,VS2,61.9,57,2553,5.69,5.74,3.54
0.77,Good,D,SI2,63.8,58,2665,5.81,5.78,3.7
1.01,Premium,F,SI1,59.1,56,5854,6.65,6.52,3.89
1.2,Ideal,H,I1,58.6,57,3763,7.01,6.96,4.09
0.51,Premium,E,SI1,58.8,58,1443,5.28,5.23,3.09
0.37,Premium,E,VS2,61,59,888,4.65,4.6,2.82
0.31,Premium,G,VVS1,62.1,59,1046,4.39,4.34,2.71
0.7,Good,E,VS1,61,61,2952,5.69,5.72,3.48
1.2,Ideal,G,VS1,62,55,9625,6.81,6.87,4.24
0.73,Very Good,E,SI1,57.7,61,2844,5.92,5.96,3.43
0.5,Premium,G,VS1,60.9,59,1583,5.14,5.11,3.12
1.01,Very Good,D,SI2,59.1,63,3605,6.54,6.59,3.88
0.5,Ideal,D,VS2,61.1,57,2243,5.11,5.13,3.13
1.01,Very Good,E,SI1,63,57,5627,6.28,6.36,3.98
1.06,Ideal,G,VS2,61.6,56,6728,6.53,6.59,4.04
0.3,Good,H,SI1,63.7,57,554,4.28,4.26,2.72
0.32,Very Good,E,VS1,61.1,59.8,792,4.43,4.45,2.71
0.32,Ideal,D,VS2,61.5,56,758,4.39,4.42,2.71
0.92,Very Good,E,SI2,62.1,58,4011,6.18,6.22,3.85
0.71,Very Good,F,VS1,62.6,55,2893,5.66,5.71,3.56
1.11,Premium,F,VVS2,59.2,59,9377,6.79,6.82,4.03
0.93,Premium,D,SI2,62,56,4692,6.27,6.22,3.87
1.01,Very Good,I,VS1,62.2,60,4756,6.39,6.35,3.96
0.9,Very Good,F,SI1,59.1,59,4498,6.3,6.35,3.74
1,Ideal,G,VS1,62.7,53,7114,6.39,6.46,4.03
0.53,Premium,G,SI1,62.1,62,1206,5.15,5.13,3.19
0.71,Good,E,SI2,58.7,61,2226,5.73,5.78,3.38
0.74,Ideal,E,SI1,61.6,54,2699,5.82,5.9,3.61
0.93,Very Good,G,SI2,62.7,57,3738,6.21,6.26,3.91
0.86,Ideal,E,SI2,61.8,57,3828,6.1,6.13,3.78
1.06,Premium,I,VS1,62.4,55,4920,6.57,6.5,4.08
0.31,Premium,F,VVS1,59.4,58,766,4.41,4.45,2.63
0.3,Ideal,E,VVS1,61.2,57,838,4.32,4.34,2.65
0.3,Ideal,E,VVS2,62.3,54.1,779,4.28,4.34,2.69
0.38,Premium,E,VVS1,61.9,58,1267,4.62,4.66,2.87
0.34,Premium,H,VVS2,61.4,58,880,4.5,4.46,2.75
0.53,Ideal,G,VVS2,61.4,57,1948,5.19,5.26,3.21
0.7,Ideal,E,VS1,61.8,56,2837,5.74,5.69,3.53
0.61,Ideal,G,VS1,61.5,56,2182,5.48,5.5,3.38
1.5,Very Good,H,VS1,59.6,60,12152,7.39,7.42,4.41
0.5,Good,E,SI1,62.5,59,1293,5.04,5.07,3.16
0.96,Good,H,SI2,56.7,62,3611,6.51,6.39,3.66
0.81,Premium,H,VS2,58,59,2795,6.17,6.13,3.57
1.14,Premium,I,SI1,60.1,60,4788,6.81,6.76,4.08
0.32,Ideal,G,VVS2,61.5,57,730,4.39,4.43,2.71
0.93,Premium,E,SI1,62.8,56,4739,6.26,6.2,3.91
2.14,Ideal,I,SI2,61.9,56,14321,8.22,8.26,5.1
0.34,Very Good,E,SI1,63.5,55,714,4.47,4.44,2.83
1.01,Premium,E,SI2,59.5,59,4751,6.58,6.54,3.9
0.73,Very Good,F,SI1,60.4,57,2549,5.86,5.89,3.55
1.04,Premium,G,SI1,62.8,57,4467,6.5,6.41,4.05
0.33,Ideal,G,VVS1,61.8,55,838,4.47,4.5,2.77
1.7,Premium,J,VVS1,62.9,60,11005,7.61,7.56,4.77
0.34,Good,G,VVS2,58,61,826,4.56,4.58,2.65
0.35,Good,F,SI1,63.1,56,583,4.46,4.51,2.83
0.54,Ideal,E,VS2,61.7,55,1754,5.24,5.27,3.24
1.01,Good,H,VS2,64.3,58,4489,6.27,6.2,4.01
1.01,Good,I,SI1,58.4,64,3394,6.51,6.48,3.79
0.6,Ideal,H,SI1,61.4,55,1766,5.46,5.49,3.36
0.8,Ideal,F,SI1,61,56,3082,6.05,5.98,3.67
0.7,Ideal,G,VVS2,60.3,57,3191,5.75,5.83,3.49
0.7,Very Good,J,VVS1,63.3,55,2042,5.63,5.68,3.58
1.07,Ideal,J,VS2,61.6,56.3,4602,6.55,6.59,4.04
0.9,Premium,H,SI2,59.2,60,3326,6.3,6.24,3.71
1.21,Ideal,I,SI1,62.4,55,5218,6.81,6.78,4.24
1.21,Very Good,I,SI1,62.9,55,5452,6.69,6.76,4.23
0.73,Ideal,E,SI2,61.3,54,2431,5.8,5.88,3.58
0.42,Very Good,G,VS1,60.6,58,921,4.82,4.95,2.96
0.28,Very Good,F,VVS1,61.4,60,642,4.19,4.22,2.58
1,Ideal,I,SI2,61.7,56,2873,6.45,6.41,3.97
1.01,Very Good,D,VVS2,63,56,10800,6.35,6.41,4.02
1,Fair,G,I1,64.9,56,2398,6.2,6.14,4.01
0.3,Ideal,F,VS2,62.9,57,776,4.29,4.27,2.69
2.02,Premium,F,SI2,61.7,58,18320,8.11,8.15,5.02
0.7,Very Good,D,SI1,63.7,60,2565,5.57,5.61,3.56
0.31,Ideal,E,VS2,61.4,54,872,4.4,4.33,2.68
0.8,Premium,J,SI1,60.1,57,2227,6.03,5.98,3.61
0.3,Good,E,VVS1,63.5,57,775,4.23,4.27,2.7
0.7,Fair,H,VS1,59.6,66,2395,5.8,5.74,3.44
1.33,Premium,I,VS2,62.5,61,6316,7.02,6.99,4.38
0.32,Very Good,E,VS1,62.9,57,661,4.36,4.39,2.75
0.71,Premium,D,VS2,60.3,62,3077,5.76,5.69,3.45
0.9,Very Good,F,SI1,59.6,63,3992,6.24,6.17,3.7
0.33,Ideal,H,VS2,61.1,56,539,4.5,4.54,2.76
1.19,Premium,H,SI2,61.9,58,4332,6.84,6.77,4.21
0.63,Ideal,G,SI1,62.3,58,1711,5.44,5.48,3.4
1.01,Premium,D,VS2,61,59,6827,6.44,6.41,3.92
0.5,Ideal,E,VVS1,61.9,58,2682,5.07,5.11,3.15
0.23,Very Good,E,VVS2,61.8,59,465,3.92,3.95,2.43
1.24,Ideal,D,VVS2,61.5,57,14737,6.88,6.94,4.25
1.27,Ideal,G,VVS2,62.4,53.3,10342,6.94,6.95,4.33
1.52,Premium,H,SI1,61.2,58,8566,7.53,7.43,4.57
1.5,Ideal,H,VS2,62.8,57,11159,7.3,7.25,4.57
2,Ideal,H,SI1,63.9,54,18440,7.92,8,5.1
0.34,Very Good,D,VS1,59.8,57,725,4.54,4.59,2.73
1,Premium,G,VS1,59.7,59,7164,6.57,6.5,3.9
1.23,Ideal,H,SI2,60.6,57,5951,6.98,6.94,4.22
1.17,Premium,H,SI1,58.5,62,5831,6.95,6.9,4.05
2.52,Premium,F,SI2,60.6,60,18179,8.78,8.7,5.3
1.6,Good,E,SI1,63.6,58,12467,7.38,7.44,4.71
0.46,Very Good,E,VS1,58.7,60,1452,5.08,5.15,3
0.52,Ideal,G,SI2,59.7,56,1042,5.28,5.31,3.16
2.36,Good,J,SI2,58.9,64,12286,8.75,8.68,5.14
1.09,Ideal,H,SI1,61.1,57,5219,6.69,6.6,4.1
0.94,Ideal,F,I1,61.5,55,2594,6.37,6.34,3.91
0.9,Premium,G,SI2,60.4,58,3445,6.25,6.3,3.79
0.33,Ideal,E,VS1,62.3,53.8,771,4.42,4.44,2.76
0.31,Ideal,E,VVS2,61.2,56,979,4.37,4.39,2.68
0.58,Very Good,H,SI1,62.1,55,1239,5.35,5.38,3.33
0.7,Ideal,E,VS2,61,56,3376,5.76,5.79,3.52
1.24,Very Good,F,VVS1,62.7,61,11716,6.75,6.84,4.26
1.36,Very Good,H,SI2,61.5,58,6279,7.09,7.16,4.38
0.31,Premium,D,VVS1,61.1,56,1060,4.42,4.35,2.68
0.31,Premium,G,VS1,61.2,60,625,4.3,4.33,2.64
0.28,Very Good,E,VS2,60.4,59,487,4.22,4.26,2.56
2.5,Ideal,J,SI2,64,55,14502,8.56,8.48,5.46
0.71,Very Good,F,VS2,59.6,56,2994,5.84,5.88,3.49
0.3,Premium,H,VVS2,62.1,52,776,4.31,4.29,2.67
0.77,Good,D,SI2,63.8,58,2642,5.78,5.81,3.7
1.21,Very Good,H,SI1,60.2,58,6229,6.89,6.93,4.16
0.9,Very Good,G,SI1,62.7,59,4059,6.12,6.17,3.85
0.5,Very Good,E,SI1,61.4,63,1128,5.06,5.1,3.12
1.52,Premium,E,VS1,59.9,60,16628,7.39,7.47,4.45
1.26,Ideal,F,VVS1,61.1,57,15247,6.96,6.98,4.26
0.9,Very Good,D,VVS2,62.6,59,6872,6.11,6.15,3.84
0.41,Ideal,E,SI2,61.9,57,683,4.76,4.8,2.96
2,Good,G,SI1,64.2,59,17902,7.93,7.84,5.06
0.71,Very Good,D,VVS2,61.7,58,4014,5.71,5.74,3.53
1.03,Premium,J,VS1,61.8,58,3957,6.51,6.41,3.99
0.9,Premium,J,VS1,62.1,62,2964,6.12,6.05,3.78
1.17,Ideal,G,VVS1,61.9,56,9799,6.73,6.78,4.18
0.36,Premium,D,SI1,61.5,59,851,4.55,4.52,2.79
1.16,Premium,F,SI2,62.4,59,5164,6.72,6.64,4.17
1.18,Very Good,J,SI2,63.5,57,4294,6.68,6.74,4.26
0.33,Ideal,F,VVS2,60.9,56,974,4.47,4.5,2.73
0.71,Very Good,H,VS2,62.6,56,2432,5.68,5.72,3.57
0.72,Ideal,J,SI1,62.3,56,1864,5.75,5.78,3.59
1.5,Fair,I,I1,65.1,59,5040,7.12,6.96,4.58
1.32,Premium,G,SI1,62.1,59,6542,7.03,6.99,4.35
1.05,Ideal,E,VS1,62.6,57,7762,6.5,6.44,4.05
0.3,Ideal,E,VVS1,61.6,55,838,4.34,4.36,2.68
0.51,Very Good,E,VS2,60.5,56,1656,5.18,5.24,3.15
1.33,Premium,H,SI2,62.8,52,6405,7.15,7.06,4.46
1.2,Very Good,G,VS2,62.2,58,8124,6.75,6.79,4.21
1.24,Ideal,F,VS1,62.2,55,9333,6.89,6.87,4.28
0.32,Very Good,F,VS1,59.1,59,613,4.45,4.48,2.64
0.3,Premium,E,SI1,59.8,60,526,4.31,4.35,2.59
0.39,Good,G,IF,63.5,56,1213,4.65,4.67,2.96
1,Fair,G,VVS2,66.9,55,4534,6.2,6.17,4.14
0.3,Premium,G,VVS2,60.8,58,684,4.34,4.38,2.65
0.71,Ideal,G,VS1,62.4,57,2950,5.68,5.73,3.56
1.01,Very Good,G,SI1,63.4,58,5051,6.29,6.4,4.02
1.52,Very Good,F,VS2,62.9,53.3,15649,7.31,7.36,4.61
1.12,Premium,G,IF,61.2,58,9440,6.67,6.7,4.09
0.71,Ideal,G,VS2,61.6,55,2537,5.74,5.78,3.55
1.02,Very Good,H,SI2,62.6,57,4341,6.42,6.46,4.03
1.31,Good,G,SI2,63.8,56,4864,7.03,6.89,4.44
0.51,Ideal,E,VS1,61.8,55,1697,5.15,5.18,3.19
0.8,Very Good,G,SI2,63,55,2616,5.92,5.95,3.74
0.32,Premium,H,VS1,62.4,58,561,4.35,4.4,2.73
0.55,Ideal,H,IF,61.9,56,2120,5.26,5.34,3.26
2.27,Fair,J,I1,67.6,55,5733,8.05,8,5.43
1.47,Very Good,H,SI2,59.3,59,7438,7.34,7.39,4.37
0.52,Very Good,H,VVS1,63.9,59,1664,5.08,5.1,3.25
0.31,Good,I,VS1,63.9,56,628,4.3,4.28,2.74
0.9,Very Good,H,SI1,60.8,57,3770,6.22,6.25,3.79
0.56,Ideal,G,SI1,61.6,59,1755,5.27,5.32,3.26
0.42,Ideal,F,SI2,61.7,54,626,4.85,4.87,3
1.01,Ideal,I,SI1,60.3,58,4641,6.5,6.56,3.94
1.54,Very Good,G,VS1,63.4,57,14433,7.28,7.36,4.64
1.2,Very Good,I,VS1,62.8,54.5,6652,6.75,6.79,4.25
0.7,Premium,E,SI1,62.9,58,2333,5.68,5.61,3.55
1.04,Ideal,G,VS2,62.5,57,6589,6.46,6.49,4.05
0.28,Ideal,H,VVS2,61.2,55,514,4.18,4.22,2.57
0.91,Ideal,E,SI2,61.5,56,3898,6.23,6.2,3.82
0.9,Premium,I,SI1,61.8,58,3251,6.21,6.19,3.83
0.37,Ideal,H,VVS1,62,53,815,4.63,4.66,2.88
0.31,Very Good,G,VVS2,62.6,57,707,4.29,4.33,2.7
0.7,Fair,F,SI2,64.8,57,1792,5.65,5.59,3.64
1.03,Premium,F,SI2,61.4,57,4586,6.6,6.53,4.03
0.28,Ideal,F,VS2,61.8,54,490,4.18,4.23,2.6
1.01,Ideal,G,VVS2,62,58,7597,6.36,6.39,3.95
0.36,Ideal,G,VVS2,62.3,56,776,4.55,4.57,2.84
0.6,Ideal,E,VS2,61.8,56,1897,5.41,5.46,3.36
1.51,Ideal,H,SI1,61.3,56,10012,7.44,7.4,4.55
1.01,Premium,F,SI2,61.7,60,4533,6.36,6.42,3.94
1.01,Very Good,F,SI1,62.7,57,5174,6.32,6.38,3.98
1.52,Premium,F,SI2,60.7,61,6554,7.47,7.36,4.5
0.9,Very Good,F,SI2,63.1,58,3457,6.13,6.11,3.86
0.34,Ideal,E,SI1,61.4,54,765,4.53,4.5,2.77
1.09,Very Good,D,IF,61.7,58,18231,6.55,6.65,4.07
0.34,Ideal,H,VVS1,61.1,56,751,4.51,4.56,2.77
0.3,Very Good,F,VVS2,62.4,57,694,4.25,4.27,2.66
0.71,Ideal,H,VS2,61.8,55,3080,5.75,5.78,3.56
0.44,Good,D,VS2,60.6,64,1238,4.97,4.89,2.99
0.34,Ideal,H,VS1,62.3,55,765,4.48,4.45,2.78
0.72,Ideal,J,SI2,61.7,55,1926,5.77,5.81,3.57
0.5,Very Good,G,SI1,64.1,57,1187,5.04,5.07,3.24
0.35,Ideal,E,SI1,62.3,56,614,4.53,4.56,2.83
0.51,Ideal,E,SI1,60.8,57,1437,5.17,5.22,3.16
0.97,Premium,G,SI1,62.6,58,4400,6.24,6.18,3.89
0.71,Good,H,SI1,64,61,2207,5.61,5.54,3.57
1.01,Very Good,D,VS2,59.8,60,6563,6.42,6.46,3.85
1.53,Very Good,E,SI1,62.6,57,12386,7.25,7.41,4.59
2.01,Very Good,J,SI1,62.4,59,12392,8.02,8.08,5.02
0.9,Premium,H,SI1,61.9,58,3629,6.2,6.15,3.82
1.37,Premium,F,SI2,62.8,57,6181,7.12,7.08,4.46
0.54,Very Good,F,VVS1,59.7,56,2356,5.33,5.35,3.19
0.3,Ideal,G,VS1,61.4,55,776,4.36,4.31,2.66
1.02,Ideal,E,VS2,61,56,8225,6.53,6.51,3.98
0.31,Ideal,G,VS2,61.8,53,652,4.35,4.39,2.7
1,Very Good,H,SI1,63.4,56,4469,6.37,6.34,4.03
0.91,Ideal,G,SI1,62.5,56,4673,6.19,6.22,3.88
1.11,Ideal,G,VS2,61.2,56,6982,6.68,6.65,4.08
0.31,Very Good,E,VS2,61.8,59,680,4.3,4.37,2.68
1.35,Premium,H,VS2,61.5,58,8062,7.15,7.09,4.38
0.41,Ideal,F,IF,62.3,55,1439,4.78,4.82,2.99
0.72,Ideal,I,VS2,61.7,56,2650,5.75,5.8,3.56
0.41,Ideal,F,VVS1,61.3,56,1001,4.8,4.82,2.95
0.52,Fair,F,VS1,57.2,59,1784,5.35,5.39,3.07
1.22,Ideal,G,SI2,62.9,56,5436,6.86,6.78,4.29
0.4,Good,I,VVS1,63.9,56,1080,4.68,4.64,2.98
1.23,Very Good,G,SI2,61,63,4477,6.91,6.85,4.2
0.35,Ideal,G,VVS1,61,56,1028,4.56,4.59,2.79
0.41,Premium,D,VVS1,62.2,58,1413,4.77,4.71,2.95
0.5,Ideal,H,VS2,62.3,58,1400,5.12,5.05,3.17
3.01,Premium,F,I1,62.2,56,9925,9.24,9.13,5.73
0.81,Ideal,E,SI2,62.1,57,3050,5.97,5.91,3.69
1.23,Good,D,SI2,60.5,64,5689,6.94,6.88,4.18
1,Premium,I,VS1,60.3,62,3763,6.46,6.41,3.88
1.5,Very Good,G,SI1,63.1,59,10139,7.22,7.27,4.57
1.42,Good,H,SI2,61.8,61,7437,7.01,7.09,4.36
0.56,Ideal,G,SI1,62.1,55,1417,5.29,5.33,3.3
1.01,Good,F,VS2,61.7,58,6288,6.3,6.34,3.9
0.54,Very Good,J,SI1,61.3,55,1080,5.23,5.28,3.22
